[LightGBM] [Info] Finished loading parameters
[LightGBM] [Info] Loading query boundaries...
[LightGBM] [Info] Loading query boundaries...
[LightGBM] [Info] Finished loading data in 8.009653 seconds
[LightGBM] [Warning] Auto-choosing col-wise multi-threading, the overhead of testing was 0.742703 seconds.
[LightGBM] [Info] 15.691326 seconds elapsed, finished iteration 56
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:57, valid_1 ndcg@1 : 0.718597
[LightGBM] [Info] Iteration:57, valid_1 ndcg@3 : 0.722931
[LightGBM] [Info] Iteration:57, valid_1 ndcg@5 : 0.741561
[LightGBM] [Info] Iteration:57, valid_1 ndcg@10 : 0.784525
[LightGBM] [Info] 15.931765 seconds elapsed, finished iteration 57
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:58, valid_1 ndcg@1 : 0.720246
[LightGBM] [Info] Iteration:58, valid_1 ndcg@3 : 0.723611
[LightGBM] [Info] Iteration:58, valid_1 ndcg@5 : 0.741601
[LightGBM] [Info] Iteration:58, valid_1 ndcg@10 : 0.785089
[LightGBM] [Info] 16.169660 seconds elapsed, finished iteration 58
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:59, valid_1 ndcg@1 : 0.720449
[LightGBM] [Info] Iteration:59, valid_1 ndcg@3 : 0.723486
[LightGBM] [Info] Iteration:59, valid_1 ndcg@5 : 0.742106
[LightGBM] [Info] Iteration:59, valid_1 ndcg@10 : 0.78517
[LightGBM] [Info] 16.403487 seconds elapsed, finished iteration 59
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:60, valid_1 ndcg@1 : 0.720664
[LightGBM] [Info] Iteration:60, valid_1 ndcg@3 : 0.723378
[LightGBM] [Info] Iteration:60, valid_1 ndcg@5 : 0.741829
[LightGBM] [Info] Iteration:60, valid_1 ndcg@10 : 0.785011
[LightGBM] [Info] 16.641385 seconds elapsed, finished iteration 60
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:61, valid_1 ndcg@1 : 0.719396
[LightGBM] [Info] Iteration:61, valid_1 ndcg@3 : 0.722643
[LightGBM] [Info] Iteration:61, valid_1 ndcg@5 : 0.741424
[LightGBM] [Info] Iteration:61, valid_1 ndcg@10 : 0.784763
[LightGBM] [Info] 16.891195 seconds elapsed, finished iteration 61
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:62, valid_1 ndcg@1 : 0.718942
[LightGBM] [Info] Iteration:62, valid_1 ndcg@3 : 0.722102
[LightGBM] [Info] Iteration:62, valid_1 ndcg@5 : 0.741714
[LightGBM] [Info] Iteration:62, valid_1 ndcg@10 : 0.784383
[LightGBM] [Info] 17.136107 seconds elapsed, finished iteration 62
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:63, valid_1 ndcg@1 : 0.718943
[LightGBM] [Info] Iteration:63, valid_1 ndcg@3 : 0.722688
[LightGBM] [Info] Iteration:63, valid_1 ndcg@5 : 0.741873
[LightGBM] [Info] Iteration:63, valid_1 ndcg@10 : 0.784925
[LightGBM] [Info] 17.365912 seconds elapsed, finished iteration 63
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:64, valid_1 ndcg@1 : 0.719209
[LightGBM] [Info] Iteration:64, valid_1 ndcg@3 : 0.722367
[LightGBM] [Info] Iteration:64, valid_1 ndcg@5 : 0.741543
