[LightGBM] [Info] Finished loading parameters
[LightGBM] [Info] Loading query boundaries...
[LightGBM] [Info] Loading query boundaries...
[LightGBM] [Info] Finished loading data in 10.135371 seconds
[LightGBM] [Warning] Auto-choosing row-wise multi-threading, the overhead of testing was 0.327163 seconds.
You can set `force_row_wise=true` to remove the overhead.
And if memory is not enough, you can set `force_col_wise=true`.
[LightGBM] [Info] Iteration:67, valid_1 ndcg@1 : 0.509267
[LightGBM] [Info] Iteration:67, valid_1 ndcg@3 : 0.49294
[LightGBM] [Info] Iteration:67, valid_1 ndcg@5 : 0.497139
[LightGBM] [Info] Iteration:67, valid_1 ndcg@10 : 0.515325
[LightGBM] [Info] 26.819216 seconds elapsed, finished iteration 67
[LightGBM] [Info] Iteration:68, valid_1 ndcg@1 : 0.508083
[LightGBM] [Info] Iteration:68, valid_1 ndcg@3 : 0.492788
[LightGBM] [Info] Iteration:68, valid_1 ndcg@5 : 0.497254
[LightGBM] [Info] Iteration:68, valid_1 ndcg@10 : 0.515338
[LightGBM] [Info] 27.225294 seconds elapsed, finished iteration 68
[LightGBM] [Info] Iteration:69, valid_1 ndcg@1 : 0.507103
[LightGBM] [Info] Iteration:69, valid_1 ndcg@3 : 0.492378
[LightGBM] [Info] Iteration:69, valid_1 ndcg@5 : 0.497003
[LightGBM] [Info] Iteration:69, valid_1 ndcg@10 : 0.515322
[LightGBM] [Info] 27.606147 seconds elapsed, finished iteration 69
[LightGBM] [Info] Iteration:70, valid_1 ndcg@1 : 0.507763
[LightGBM] [Info] Iteration:70, valid_1 ndcg@3 : 0.492708
[LightGBM] [Info] Iteration:70, valid_1 ndcg@5 : 0.497342
[LightGBM] [Info] Iteration:70, valid_1 ndcg@10 : 0.515587
[LightGBM] [Info] 27.988651 seconds elapsed, finished iteration 70
[LightGBM] [Info] Iteration:71, valid_1 ndcg@1 : 0.507846
[LightGBM] [Info] Iteration:71, valid_1 ndcg@3 : 0.492665
[LightGBM] [Info] Iteration:71, valid_1 ndcg@5 : 0.497314
[LightGBM] [Info] Iteration:71, valid_1 ndcg@10 : 0.515927
[LightGBM] [Info] 28.389477 seconds elapsed, finished iteration 71
[LightGBM] [Info] Iteration:72, valid_1 ndcg@1 : 0.508506
[LightGBM] [Info] Iteration:72, valid_1 ndcg@3 : 0.49314
[LightGBM] [Info] Iteration:72, valid_1 ndcg@5 : 0.497516
